Country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,All time
AUT,grey,grey,grey,grey,grey,grey,royalblue,grey,grey,grey,grey,grey,grey,royalblue
USA,royalblue,grey,grey,grey,royalblue,grey,grey,royalblue,royalblue,grey,royalblue,royalblue,grey,royalblue
CAN,grey,grey,grey,grey,royalblue,grey,grey,grey,royalblue,grey,grey,grey,grey,royalblue
MEX,royalblue,royalblue,royalblue,royalblue,royalblue,royalblue,royalblue,royalblue,royalblue,royalblue,royalblue,royalblue,royalblue,royalblue
FRA,royalblue,grey,grey,grey,grey,grey,royalblue,royalblue,grey,grey,royalblue,grey,royalblue,royalblue
GBR,royalblue,grey,grey,grey,grey,grey,grey,royalblue,grey,grey,grey,royalblue,royalblue,royalblue
ESP,royalblue,grey,grey,grey,grey,grey,grey,royalblue,royalblue,grey,royalblue,grey,royalblue,royalblue
ITA,royalblue,grey,grey,grey,grey,grey,grey,royalblue,grey,grey,royalblue,royalblue,royalblue,royalblue
CHE,grey,grey,grey,grey,grey,grey,royalblue,royalblue,royalblue,grey,grey,grey,grey,royalblue
DEU,grey,grey,grey,grey,grey,grey,royalblue,royalblue,grey,grey,royalblue,grey,royalblue,royalblue
LIE,grey,grey,grey,grey,grey,grey,royalblue,grey,grey,grey,grey,grey,grey,royalblue
CZE,grey,grey,grey,grey,grey,grey,grey,royalblue,grey,grey,grey,grey,grey,royalblue
NLD,grey,grey,grey,grey,grey,grey,grey,royalblue,grey,grey,grey,grey,grey,royalblue
PRT,grey,grey,grey,grey,grey,grey,grey,grey,grey,grey,grey,royalblue,grey,royalblue
BEL,grey,grey,grey,grey,grey,grey,grey,royalblue,grey,grey,grey,grey,grey,royalblue
IRL,grey,grey,grey,grey,grey,grey,grey,royalblue,grey,grey,grey,grey,grey,royalblue
BHS,royalblue,grey,grey,grey,grey,grey,grey,grey,grey,grey,grey,grey,grey,royalblue
